Non-Ordinary step!!. step=4199660, t=2.09983e+06, gorputza=71,k=9
Non-Ordinary step!!. step=4199660, t=2.09983e+06, gorputza=81,k=9
Non-Ordinary step!!. step=4199660, t=2.09983e+06, gorputza=82,k=9
Non-Ordinary step!!. step=4199660, t=2.09983e+06, gorputza=83,k=9
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=36,k=8
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=37,k=8
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=38,k=8
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=69,k=8
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=70,k=8
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=71,k=8
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=81,k=8
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=82,k=8
Non-Ordinary step!!. step=4199661, t=2.09983e+06, gorputza=83,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=36,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=37,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=38,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=69,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=70,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=71,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=81,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=82,k=8
Non-Ordinary step!!. step=4199662, t=2.09983e+06, gorputza=83,k=8
Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=36,k=7
Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=37,k=7
Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=38,k=7
Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=69,k=7
Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=70,k=7
Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=71,k=7
Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=81,k=7
Non-Ordinary step!!. step=4199663, t=2.09983e+06, gorputza=82,k=7
